agency_id,route_id,route_name
DIMTS,142,828AUP
DIMTS,10001,971DOWN
DIMTS,362,961DOWN
DIMTS,274,819DOWN
DIMTS,10386,824STLDOWN2
DIMTS,233,919UP
DIMTS,10387,770ASTLDOWN2
DIMTS,118,817NSTLDOWN
DIMTS,10388,73ADOWN
DIMTS,67,112STLUP
DIMTS,1627,172AUP
DIMTS,1047,113STLUP
DIMTS,10389,123DWN
DIMTS,10390,991ASTLUP
DIMTS,1815,129DOWN
DIMTS,10391,879ADOWN
DIMTS,10392,260PMSLSTLUP
DIMTS,1030,939STLDOWN
DIMTS,1371,835LSTLUP
DIMTS,295,413UP
DIMTS,613,456UP
DIMTS,8,847AUP
DIMTS,1086,712UP
DIMTS,1099,511ASTLUP
DIMTS,189,174STLDOWN
DIMTS,1419,174BSTLUP
DIMTS,1365,961UP
DIMTS,10393,136LNKSTLUP2
DIMTS,10394,794ADOWN2
DIMTS,1957,905STLUP
DIMTS,1280,913DOWN
DIMTS,2033,859AUP
DIMTS,1140,719AUP
DIMTS,10395,534EDOWN
DIMTS,139,148AUP
DIMTS,141,356LNKSTLUP
DIMTS,1039,773UP
DIMTS,2045,106DOWN
DIMTS,202,858UP
DIMTS,501,AIR-05STLUP
DIMTS,883,753DOWN
DIMTS,10004,425DOWN
DIMTS,10396,717DOWN2
DIMTS,1076,270DOWN
DIMTS,10397,863UP2
DIMTS,616,260DOWN
DIMTS,702,743LSTLUP
DIMTS,10398,136LNKSTLDWN2
DIMTS,858,876+790DOWN
DIMTS,812,847ADOWN
DIMTS,10399,943DWN
DIMTS,2093,119LSTLUP
DIMTS,672,433LSTLUP
DIMTS,1735,207UP
DIMTS,10006,GL-91STLUP
DIMTS,10400,CBD1+UP
DIMTS,10401,102ASTLDOWN
DIMTS,1386,784STLUP
DIMTS,1837,836DOWN
DIMTS,10402,729EDOWN2
DIMTS,1741,826DOWN
DIMTS,1300,143UP
DIMTS,474,106UP
DIMTS,1523,806STLDOWN
DIMTS,10403,215STLDOWN2
DIMTS,10404,833STLUP
DIMTS,1473,978UP
DIMTS,213,844DOWN
DIMTS,1678,391STLUP
DIMTS,960,763ADOWN
DIMTS,18,144AUP
DIMTS,1209,340STLDOWN
DIMTS,1907,721DOWN
DIMTS,1699,174DOWN
DIMTS,10405,237ADOWN
DIMTS,407,433LINKSTLDOWN
DIMTS,799,717DOWN
DIMTS,1478,193AUP
DIMTS,517,822UP
DIMTS,2150,806STLUP
DIMTS,573,33LNKSTLUP
DIMTS,1147,872DOWN
DIMTS,10007,DW-5DOWN
DIMTS,10406,715STLUP2
DIMTS,1308,810DOWN
DIMTS,920,978DOWN
DIMTS,2007,729BUP
DIMTS,687,578ADOWN
DIMTS,1512,336AUP
DIMTS,1846,141UP
DIMTS,2101,850LTDUP
DIMTS,1153,104UP
DIMTS,717,413DOWN
DIMTS,1964,792STLDOWN
DIMTS,10011,S-1UP
DIMTS,2103,972EXTUP
DIMTS,49,120DOWN
DIMTS,1516,205UP
DIMTS,2083,956STLDOWN
DIMTS,10407,775LINKSTLUP
DIMTS,498,85EXTDOWN
DIMTS,1966,CBD2(-)DOWN
DIMTS,1252,107STLDOWN
DIMTS,807,781DOWN
DIMTS,10408,ML06STLUP
DIMTS,1050,883UP
DIMTS,10409,992ASTLDOWN
DIMTS,10014,S-1STLDOWN
DIMTS,534,221UP
DIMTS,1250,578LSTLUP
DIMTS,1375,926UP
DIMTS,652,165UP
DIMTS,499,120UP
DIMTS,796,978STLUP
DIMTS,1341,886DOWN
DIMTS,1245,340STLUP
DIMTS,1993,818BUP
DIMTS,2139,158UP
DIMTS,10015,544DOWN
DIMTS,10410,102LSTLDOWN
DIMTS,10016,DW-3STLDOWN
DIMTS,956,274ADOWN
DIMTS,10411,972ASTLUP2
DIMTS,10017,DW-3STLUP
DIMTS,55,507CLUP
DIMTS,441,469UP
DIMTS,10412,149BDOWN
DIMTS,560,208LNKSTLDOWN
DIMTS,10018,957DOWN
DIMTS,1457,172LSTLDOWN
DIMTS,10019,47ADOWN
DIMTS,900,806UP
DIMTS,10413,819STLUP2
DIMTS,1018,161UP
DIMTS,1319,825STLDOWN
DIMTS,10021,DW-4DOWN
DIMTS,10414,260PMSLSTLDOWN
DIMTS,1460,260UP
DIMTS,1983,953STLDOWN
DIMTS,1518,143DOWN
DIMTS,1249,887UP
DIMTS,1379,153DOWN
DIMTS,10415,169STLDWN3
DIMTS,316,826LINKSTLUP
DIMTS,408,776STLUP
DIMTS,10023,S-1DOWN
DIMTS,720,706DOWN
DIMTS,1241,981STLUP
DIMTS,10024,460DOWN
DIMTS,134,751UP
DIMTS,254,380UP
DIMTS,1933,518DOWN
DIMTS,10416,828STLDOWN2
DIMTS,1214,729UP
DIMTS,2050,847UP
DIMTS,808,412DOWN
DIMTS,10417,ML06UP
DIMTS,10025,490UP
DIMTS,1872,129STLDOWN
DIMTS,425,703ADOWN
DIMTS,10418,215STLUP2
DIMTS,1042,774DOWN
DIMTS,10419,885EDOWN
DIMTS,1596,764DOWN
DIMTS,1972,623EXTDOWN
DIMTS,1511,340UP
DIMTS,30,131DOWN
DIMTS,133,801DOWN
DIMTS,949,979DOWN
